question,answer
Bursary for Students with Disabilities (BSWD) / Canada Student Grant for Services and Equipment - Students with Disabilities (CSG-DSE),"The Bursary for Students with Disabilities (BSWD) and the Canada Student Grant for Services and Equipment - Students with Disabilities (CSG-DSE) helps full and part-time postsecondary students with the costs of their disability-related educational services and equipment. By submitting a BSWD/CSG-DSE application, you may receive assistance for the disability-related accommodations you need, such as note-takers, tutors, interpreters or technical aids while you’re in postsecondary studies."
Eligibility,"Funding consideration is based on your disability status. For the BSWD and/or CSG-DSE, you must have a permanent disability , or a persistent or prolonged disability and you must be eligible for funding from one of the following sources for your current study period: Ontario Student Assistance Program (OSAP) for Full-Time Students Ontario Student Assistance Program (OSAP) for Part-Time Students"
Deadlines,"Your completed application must be received by Student Financial Services no later than 60 days before the end of your study period. All supporting documentation must be received no later than 40 days before the end of your study period. Other student aid Canada Apprenticeship Loan The Government of Canada is committed to supporting registered apprentices throughout their training. The Canada Apprentice Loan can help you get the money you need to achieve your goals. Find out if you are eligible for a Canada Apprentice Loan . How to apply for a Canada Apprentice Loan. Learn how to manage your Canada Apprentice Loan . What you need to know about repaying your Canada Apprentice Loan . Application deadlines The earliest you can apply for a Canada Apprentice Loan is three months before your technical training starts. The latest you can apply for a Canada Apprentice Loan is the last day of your technical training. Out-of-province financial aid Students who are not residents of Ontario (as defined by OSAP) but who are Canadian citizens, permanent residents, or protected persons may be eligible for financial assistance from their home province or territory. Visit the Government of Canada's Canada student grants and loans web page for province specific information. It is the student's responsibility to ensure their application and documentation is submitted as required by the province/territory due dates."
Other student aid,The Government of Canada is committed to supporting registered apprentices throughout their training. The Canada Apprentice Loan can help you get the money you need to achieve your goals. Find out if you are eligible for a Canada Apprentice Loan . How to apply for a Canada Apprentice Loan.
Application deadlines,"The earliest you can apply for a Canada Apprentice Loan is three months before your technical training starts. The latest you can apply for a Canada Apprentice Loan is the last day of your technical training. Students who are not residents of Ontario (as defined by OSAP) but who are Canadian citizens, permanent residents, or protected persons may be eligible for financial assistance from their home province or territory. Visit the Government of Canada's Canada student grants and loans web page for province specific information."
Out-of-province financial aid forms,"If you have forms for your province/territory financial aid application that need to be completed to verify your enrolment, we can assist. Once you are a registered Conestoga student, complete the Out-of-Province Form Request to submit documents that need to be completed for our provincial/territorial financial aid application. Student Financial Services can only complete documents related to Canadian provincial/territorial financial aid programs. All other verification of enrolment/letter requests can be found on the student forms web page ."
Fee due dates for out-of-province financial aid students,"Students who are receiving out-of-province financial aid may submit a copy of their funding assessment to Student Financial Services by email to have their fees due dates deferred to the OSAP fees due date . Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices"
Frequently asked questions,Menu Home Better Jobs Ontario Newcomer advising Employer services + Recruiting & hiring Financial incentives FAQ Contact Menu Home Better Jobs Ontario Newcomer advising Employer services + Recruiting & hiring Financial incentives FAQ Contact Menu Home Better Jobs Ontario Newcomer advising Employer services + Recruiting & hiring Financial incentives FAQ Contact
Please note:,"If you are a domestic Conestoga student, you must first book an appointment with a Career Services Advisor to access career services through the Community Career Centre. If you are an international Conestoga student or a graduate on a Post-Graduation Work Permit (PGWP), career services are not available through the Community Career Centre. Instead, visit Career Services in the Student Success Portal or email talenthub@conestogac.on.ca for support. If you are a domestic Conestoga student, you must first book an appointment with a Career Services Advisor to access career services through the Community Career Centre. If you are a domestic Conestoga student, you must first book an appointment with a Career Services Advisor to access career services through the Community Career Centre."
Useful websites for Occupation Research & Labour Market information,"Innovation, Science and Economic Development Canada National Occupational Classification (NOC) One of the most effective methods of obtaining more detailed information about a particular career is to conduct an information meeting with someone who holds a position that interests you. Information meetings are beneficial because they allow you to:"
Budgeting & savings,"Friends & Family – if you have researched into the field you wish to train in and present a sound plan and evidence for your decision, family and friends may be eager to assist you. Talk to them early on in your planning about gifts, inheritance, flexible loans (remember to put the agreement in writing!) or paying expenses directly."
Friends & Family,"Life insurance – Assess your need for life insurance, you situation may have changed. There may be policies that you can cash in and reinvest the money in your studies."
Life insurance,"Severance pay – As per The Employment Standards Act ""Severance pay"" is compensation that's paid to a qualified employee who has his or her employment ""severed."" It compensates an employee for loss of seniority and job-related benefits. It also recognizes an employee's years of service.” Severance pay is often paid in a lump sum and is ideal for transitioning from old job to new, assisting with training costs if needed."
Severance pay,Lifelong Learning Plan – The Lifelong Learning Plan (LLP) allows individuals to withdraw funds from their Registered Retirement Savings Plan (RRSP) to finance training or education for themselves or their spouse or common-law partner. Visit: Service Canada: Lifelong Learning Plan .
Lifelong Learning Plan,Bank loan – Some financial institutions offer their own student loans. Be aware that these are not government-approved loans but regular loans with the word “student” attached.
Bank loan,"Line of credit – With a line of credit, you are given access to a set amount of money and allowed to withdraw money as you need. You pay interest only on the amount you withdraw."
Line of credit,Credit cards – Similar to a line of credit. Beware of very high-interest rates.
Credit cards,"Grants, bursaries, awards, scholarships – These are sources of funding that do not need to be repaid. Some are tied to academic standing and others to personal situation or need. Many are given through private sector and not-for-profit organizations that may or may not require a person be affiliated. Check with your or your spouse's employer for programs, as well. www.studentawards.com is a free Canadian search service that can help you locate information."
"Grants, bursaries, awards, scholarships","Check financial aid office at school of choice – Get in touch with the school you are interested in attending. Inquire about financial assistance (payment plans, sponsorship, bursaries, etc) that may be available for you. Options are often available that are not advertised."
Check financial aid office at school of choice,OSAP – Ontario Student Assistant Program – a loan program that provides assistance to students to help them meet the costs of post-secondary education. Visit osap.gov.on.ca .
Student Loan Program,Canada Student Grants – provides financial support to help qualifying post-secondary students achieve their learning goals. Visit Canada Student Grants .
Student Grants,"Better Jobs Ontario – A program to help eligible laid-off workers or people who may face challenges finding stable jobs who require long-term skills training to find work in high-skill occupations that are in demand in the local labour market. For more information, visit Better Jobs Ontario ."
Better Jobs Ontario,"People with disabilities – a variety of government programs designed to assist people with permanent disabilities re-enter the workforce. For more information, visit Students with disabilities ."
People with disabilities,Indigenous peoples – a number of programs designed to help Indigenous peoples with training or post-secondary education. Visit Indigenous Languages and Cultures Program .
Indigenous peoples,"Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory"
Frequently asked questions,"If you feel unsafe or require immediate attention, contact Safety and Security for support on campus. If you are off campus, contact emergency services by calling 911. Conestoga offers counselling , peer support and medical care to assist students with mental health and wellness. For after-hours mental health support, please contact Good2Talk - a free 24-hour service for Ontario post-secondary students."
off campus,"If you have experienced or witnessed sexual or gender-based violence and would like to discuss supports available both on and off campus, please contact the Sexual and Gender-Based Violence Coordinator . They can answer questions regarding sexual assault and sexual violence policies and procedures , including your reporting options. College students, employees and members of the public may submit reports on behalf of themselves or someone else. If a concern continues, escalates, or informal resolution is not appropriate, you may decide to make a report to the SRRO. You can make a verbal report by contacting us or use the Report form to report an incident in& writing. We will respond within two business days to arrange a time to discuss the incident and gather more information."
does not affect,"Appropriate grounds for submitting a challenge are personal bias/unfair treatment or new information/extenuating circumstances. Students must attach all relevant documents to support their request when emailing. If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does affect your academic status at the college, submit a formal appeal form as outlined in step four of the Academic Dispute and Appeal Resolution Procedure (pdf) . For information on how to submit your appeal, please see Academic appeals ."
does affect,It is important to understand that expectations for confidentiality depend on why you are engaging with our office.
Violations,"If we reach out to you because your conduct was reported to our office, we may disclose status reports, outcomes, and other relevant information to involved parties such as the violation reporter and any impacted areas of the college."
Online Registration,"In order to complete your application, you must:"
Paper-based Registration,"Complete the following IELTS Application Form. (Incomplete Application Forms will NOT be returned.) Please write clearly and legibly. Choose a preferred test date and an alternate test date, since registration is on a first-come, first-served basis and does not guarantee a first-choice test date. If a particular test (first-choice) has reached maximum capacity, the test taker's application will be put forward to the test taker's second choice. If no seats are available for either the first or second dates, then applications will automatically be moved to the next available test date of the chosen test venue (location)."
Confirmation of Registration,"After application and payment are received and identification document is approved, a confirmation of registration email will be sent. Please allow up to 10 business days to process paper-based Application Form (we strongly recommend online registration)."
Can't find what you're looking for?,Check out our Support section or email the IT Service Desk.
Conestoga,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada"
When will Stream (Classic) retire?,"See the retirement timeline for details. Stream (Classic) is being replaced by the new experience, Stream (on SharePoint) on April 15th. 2024."
How does the discontinuation affect me?,The discontinuation of Stream (Classic) and migration to Stream (on SharePoint) can affect users in several ways:
What happens if I take no action?,"If you take no action regarding the migration from Stream (Classic) to Stream (on SharePoint), the following will occur:"
Where will my videos be located once they have been migrated?,"Once your videos have been migrated, they will be found in the following places:"
How are Stream web parts affected on SharePoint pages?,"The ""Stream"" web part will not work with video content located on OneDrive or SharePoint, but you can use the ""File and Media"" web part for single videos, and the Highlighted content web part for sets. For more information, see How to feature videos in Microsoft 365 with pages, sites, & portals, and Using videos on SharePoint pages."
Tech FAQs,"Use the ""Search"" box to find answers to your tech questions, e.g. how to use Zoom, download software, access Texidium etexts, etc Can't find an answer? Contact us."
Student Success Portal,"The Student Success Portal is a centralized platform where registered students can access support, resources and more. Students can book appointments, attend drop-in sessions, access self-serve resources and service area information, and get involved through workshops and events."
Not sure where to start?,"Registered students can complete the Ask For Help Form on the home page of the Student Success Portal, and a Student Success Advisor will reach out to set up an appointment."
Student Success Advisors,"Student Success Advisors (SSAs) are here to help you navigate academic policies, procedures and the college more generally. Advisors are assigned to every campus, with many specializing in specific academic programs."
International Student Support Services,"The International Student Support Services (ISSS) team supports the unique needs of international students at Conestoga. They assist incoming and current students through their transition, settlement and stay in Canada with informational webinars, in-person and virtual appointments and office drop-in hours."
Register with Accessible Learning,"To discuss possible academic accommodations, please complete theâ€¯Intake Formâ€¯and check out New to Accessible Learning below."
Returning students registered with Accessible Learning,Sign in to Accommodateâ€¯where you canâ€¯book an appointment with your advisor to: change or renew accommodations address a concern about your accommodations being met/supported with advocacy discuss bursaries
Pre-admission appointments,"Pre-admission appointments are for students who wish to speak with an Accessibility Advisor while considering applying to Conestoga. An advisor can meet with you to discuss past supports, interests, program of study, course selection, strengths, challenges, and possible college accommodations."
Intake form,"When you have accepted your offer of admission and are ready to explore academic accommodations, please complete our Intake Form. We recommend that you reach out before starting your program, which could be as early as accepting your offer of admission. Early registration will aid in meaningful accommodation planning, connecting you with appropriate college supports and services, and supporting your transition to the college environment."
Remote learning,"Students who cannot come to campus for an extended period and are looking for academic accommodation for courses only offered in person/on campus are encouraged to speak with us before seeking documentation. These situations tend to have a fair amount of complexity and, when requested for a duration greater than two weeks, can generate additional barriers to academic success and participation."
Submit your documentation,"If you are new to Accessible Learning, documentation can be uploaded via our Intake Form. Alternatively, it can be uploaded to Accommodate, emailed, faxed, or submitted in person."
OSAP Disability Verification,"OSAP requires that a Disability Verification Form (DVF) be completed and uploaded to the student’s OSAP profile on the OSAP Portal for Student Financial Services to confirm permanent or temporary disability. Disability verification with OSAP may allow students to access awards, scholarships, grants, and bursaries. Students must also provide Accessible Learning with a copy of the completed DVF or other relevant medical documentation to implement academic accommodations as needed."
Documentation for a physical or mental health condition,Options of supporting documentation include:
Documentation for learning disabilities,Options of supporting documentation include
Documentation criteria,"For Accessible Learning to provide support that is most appropriate to your circumstances, documentation should meet the following criteria:"
Resource referral,"Assisting students to identify and access appropriate campus and community resources, such as financial aid, housing assistance and health services. CARE Referral Form"
Follow-up support,Providing ongoing support and check-ins with students who have experienced significant challenges or crises.
Online banking,Payments can be made through online banking.
Student Portal,"Payments can be made through the Student Portal using Visa, MasterCard, or debit."
Payment due dates,Fees are due approximately one month prior to the start of classes for programs with two consecutive sessions.
2025-2026 due dates,"Start date All students: deposit Non OSAP: fees OSAP: fees â€‹Fall term â€‹June 6, 2025 â€‹August 1, 2025 â€‹September 15, 2025 Winter term October 10, 2025 December 12, 2025 â€‹January 23, 2026 â€‹Spring term â€‹â€‹February 13, 2026 April 10, 2026 May 22, 2026"
Total OSAP funding,"Funding information is available on the OSAP website. You may also view the amount of OSAP available to pay your fees on the Student Portal. If OSAP is not enough to cover your fees, you must pay the tuition amount not covered by your OSAP by the fees due date. You will be charged a late fee if you do not pay the difference by the due date."
Confirmation of enrolment,OSAP will automatically remit fees to the college when we confirm your enrolment. The confirmation of enrolment process takes place about one week before the start of each term. Your enrolment will be confirmed when:
Receiving your funds,"Once your enrolment has been confirmed the amount for your tuition will be sent directly to the college. The funds will take seven to ten (7-10) business days to appear on your student account. If you previously paid your fees to complete your registration and your OSAP funding has been posted to your student account, you can request a refund of the double payment."
International student fees,"If an international student acquires Canadian citizenship, permanent residence status, or meets the Ministry of Training, Colleges and Universities criteria for exemption for international tuition fees during the session, the student must provide the documentation and submit it in writing to studentfees@conestogac.on.ca prior to the start of the next session."
Student Services Fee,"This fee contributes to the provision of essential academic, career, and wellness services and supports for students. This includes:"
CSI Association Fee,"The CSI Association Fee provides access to all student support services, student programming, and leadership and skill development opportunities that your official student association provides. CSI is a student-owned and student-lead organization that represents and supports all Conestoga students at all campuses. For more information regarding support services, programming and development opportunities available, visit www.conestogastudents.com."
CSI Extended Health & Dental Plan Fee,"The CSI Extended Health & Dental Plan Fee provides all students with insurance for medical services including: prescription medication, health practitioners, vision care, and dental care. This fee also provides students with access to virtual healthcare through Dialogue and travel coverage and insurance. For more information, visit Health & Dental."
CSI College International Health Insurance Plan (CIHIP) Fee,This fee provides comprehensive insurance for basic emergency healthcare services while studying in Ontario. The CIHIP provides coverage for:
CSI Legal Care Fee,"The CSI Legal Care Fee ensures students have the tools and financial means to defend their legal rights, provides access to legal information via a toll-free legal assistance helpline, and covers the costs of further counsel should they qualify for legal representation. Legal representation includes housing rights and tenant disputes, employment rights, and academic rights. This fee covers:"
Bus Pass (Brantford only),This fee is assessed to all students enrolled in full-time post-secondary and certificate programs at Brantford campus for unlimited travel on Brantford Transit.
Recreation/Athletic,"All full-time, fee-paying students at the Cambridge - Fountain Street, Kitchener - Doon, and Brantford* campuses must pay this fee which assists in offsetting the costs of the intercollegiate and intramural athletic programs, and provides access to the Recreation Centre for the academic year."
Program Services Fee (co-op programs),"All students in co-op programs, including mandatory, optional and alternative, such as guided career management, pay a non-refundable fee to offset costs involved with the wide variety of services and supports that are provided."
Work-Integrated Learning (WIL) Documentation Fee (confirmed via email),"This mandatory fee covers the cost of tracking health-related and other required student documentation prior to student WIL experiences. Depending on your programâ€™s requirements, this may include immunization records, TB testing, police record checks, workplace health & safety course completion, first aid/CPR, respiratory fit testing, consent form completion, etc."
Sustainability Fee,"This fee assists the college in completing projects that increase our energy efficiency, reduce our carbon footprint, and help to meet our overall sustainability goals."
Parking Fees and Regulations,"A system of paid parking is in place at Cambridge, Kitchener - Doon, Guelph and Waterloo (including University Gates). For information on regulations, rates and refunds, visit Parking & transportation."
Prior Learning Assessment Fee,The fee associated with assessment of prior learning (PLAR) varies each academic year. Contact the Registrar's Office for the exact amount and a PLAR registration form.
We're here to help,"The registrarâ€™s office is here to assist you from admission through to graduation and beyond. We provide services for you in the following areas: admissions, fees, enrolment, registration, credit transfer, student records, student financial services, OSAP and awards."
Student records,"Contact us for information on getting a Conestoga transcript, achievement report and more."
Understanding terms,"Get clarification on admissions, student record and registration information."
Academic handbooks,School handbooks offer students essential guidance and information for their educational journey.
Select an academic year:,Academic dates run from September 1 to August 31 and vary by program. These dates do not apply to apprenticeship programs.
Fall term - 2024,"Event Date Fall Orientation August 19, 23, 26 - 30 Labour Day (no classes) September 2 Classes start (First-year degree programs in the School of Engineering & Technology begin on August 19.) September 3 Last day to add a course (for most programs) September 11 Program withdrawal with refund (for most programs) September 16 Thanksgiving Day (no classes) October 14 Convocation October 20 - 25 Student Success Week (Some courses and programs may have classes during this time.) October 21 - 25 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹November 10 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) December 9 - 14 Intersession (no classes) (Some courses and programs may have classes during this time.) December 16, 2024 - January 3, 2025"
Winter term - 2025,"Event Date Winter Orientation January 2 - 3 Classes start January 6 Last day to add a course (for most programs) January 14 Program withdrawal with refund (for most programs) January 17 Family Day (no classes) February 17 Convocation February 24 - 28 Student Success Week(Some courses and programs may have classes during this time.) February 24 - 28 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹March 16 Good Friday (no classes) April 18 Last week of term(Programs with exams outside this time frame will be notified by the academic area.) April 14 - 19 Intersession (no classes)(Some courses and programs may have classes during this time.) April 21 - May 2"
Spring term - 2025,"Event Date Spring Orientation April 30 - May 2 Spring term 2025 start for Level 1 international students April 30 Classes start May 5 Last day to add a course (for most programs) May 13 Program withdrawal with refund (for most programs) May 16 Victoria Day (no classes) May 19 Convocation June 23 - 27 Student Success Week (Some courses and programs may have classes during this time.) June 23 - 27 Canada Day (no classes) July 1 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. July 13 Civic Holiday (no classes) August 4 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) August 11 - 16 Intersession (no classes) (Some courses and programs may have classes during this time.) August 18 - 29"
Fall term - 2025,"Event Date Fall Orientation August Dates to be confirmed Labour Day (no classes) September 1 Classes start (First-year degree programs in the School of Engineering & Technology begin on August 19.) September 2 Last day to add a course (for most programs) September 10 Program withdrawal with refund (for most programs) September 15 Thanksgiving Day (no classes) October 13 Convocation October 20 - 24 Student Success Week (Some courses and programs may have classes during this time.) October 20 - 25 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹November 9 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) December 8 - 13 Intersession (no classes) (Some courses and programs may have classes during this time.) December 15, 2025 - January 9, 2026"
Winter term - 2026,"Event Date Winter Orientation January Dates to be confirmed Classes start January 12 Last day to add a course (for most programs) January 20 Program withdrawal with refund (for most programs) January 23 Family Day (no classes) February 16 Convocation March 2 - 6 Student Success Week(Some courses and programs may have classes during this time.) March 2 - 7 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹March 22 Good Friday (no classes) April 3 Last week of term(Programs with exams outside this time frame will be notified by the academic area.) April 20 - 25 Intersession (no classes)(Some courses and programs may have classes during this time.) April 27 - May 8"
Spring term - 2026,"Event Date Spring Orientation May Dates to be confirmed Classes start May 11 Victoria Day (no classes) May 18 Last day to add a course (for most programs) May 19 Program withdrawal with refund (for most programs) May 22 Convocation June 22 - 26 Student Success Week (Some courses and programs may have classes during this time.) June 29 - July 4 Canada Day (no classes) July 1 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. July 19 Civic Holiday (no classes) August 3 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) August 17 - 22 Intersession (no classes) (Some courses and programs may have classes during this time.) August 24 - September 4"
eConestoga,"Develop, deliver and manage course materials"
Employee Portal,Access HR information including attendance and leave details
Summer hours 2025,"Select a location below to view summer hours. Effective May 4, building access is only available during the times outlined."
Returning students,"For more information about timetables, elective selection, course changes and fee payments."
Reporting of absences,Instructions for reporting absences
Study in Canada,"Conestoga is a leader in polytechnic education, delivering a full range of career-focused education, training and applied research programs to prepare students for success."
Study at Conestoga,"Find application information, admission and document requirements and more"
Get the support you need,We’re here to help you transition to college
Permits & visas,Learn about IRCC-related information and updates
Welcome new international students,The following steps are required to register and access your timetable on the Student Portal.
Provide proof of approval to study,Note: A valid Study Permit is the only document accepted and is required to start your program. A Study Permit is the document that you receive from the Canadian Border Services Agent after arriving in Canada.
Update your address,"Update your â€œLocalâ€� address in the Student Portal with your Canadian address. If you do not have a Social Insurance Number (SIN), please be sure to check the box that says â€œI do not have a SIN"". You won't be able to save your address if you do not check this box."
Ensure your tuition payment has been received by the college,"You will know if it has been received if you can see it in the Student Portal under â€œFinancialâ€�. If required, pay any outstanding fees online."
Student Rights and Responsibilities,Read and understand Conestogaâ€™s Student Rights and Responsibilities Policy (pdf).
Get started,Visit the International Getting Started web page for next steps.
Paying for college,Review important dates associated with paying tuition and other college fees as well as refund and withdrawal information.
Key due date for payments â€“ when you should pay,Program of study - Start date â€‹Deposit due date - International students Fall term 30 days from date of acceptance1 Winter term 30 days from date of acceptance1 Spring term 30 days from date of acceptance1
International fee exemption,"An international fee exemption permits an international student to pay domestic tuition fees, if eligible. Proof may be required every term to maintain an international fee exemption."
Make an international payment to the college,Conestoga College has partnered with two leading international payment processors: Flywire and Convera. These services allow you to make a payment to Conestoga through a wire transfer or credit card payment directly from your home country. Payments can be made quickly and in your home currency and are typically applied to your student account within five business days of being received by the college.
Withdrawal and refund process,"Students seeking a withdrawal and refund must complete both the Withdrawal Request Form and the Refund Request Form. These forms are found in the Student Portal under Services > My Forms. Log in with your Conestoga email address to complete the Withdrawal Request Form. Once the Withdrawal Request Form is complete, complete the Refund Request Form."
Procedure Statement,"Students are billed for tuition as well as program specific, compulsory and optional ancillary fees following the Ministry of Colleges and Universities Tuition and Ancillary Fees policy. Students are required to accept and confirm their invoice(s) and adhere to fee due dates. If a student provides evidence satisfactory to Conestoga that they are sponsored by a third party, Conestoga may invoice the third party at its discretion. Proof of sponsorship must be provided to the Office of the Registrar."
Definitions,Conestoga College maintains a glossary of terms specific to the institution. The ones in use for this document are defined below.
Responsibilities,"AdmissionsAdmits applicants to programs. Contacts confirmed Level 1 applicants who have not paid fees. Academic Records Registration and Enrolment ReportingEnsures processes and procedures for the program fee set up and billing are in place and adhered to. Office of the RegistrarAdministration of MCU policies and College fee policies and procedures ensuring fee schedules are prepared, fee assessments/invoices are prepared, and fees are collected. Client Services and Student FeesEnsures fee payment/collection processes are communicated. Ensures adherence to fee payment/collections procedures and processes. Enters fee and payment information. Processes payment schedules/arrangements for approved sponsor (i.e. Second Career) students. Responds to fee related inquiries. Fees and Statistics OfficerPrimary contact for sponsor agencies to clarify fee invoices/information and processes. StudentsFollows fee payment processes and procedures related to enrolment and registration. Accesses fee invoice(s), reviews and confirms Optional Ancillary Fees. Ensures that they are in good financial standing by adhering to due dates and/or payment agreements."
Procedure,"Fee and related fee due dates are established and approved following the Ministry of College and Universities Tuition and Ancillary Fees policy. The Registrar's Office publishes the approved tuition, compulsory and optional ancillary fees on the Conestoga web site and ensures that student fee invoices are posted to student accounts approximately 4-6 weeks prior to the deposit due dateThe student fee invoice includes the tuition deposit, tuition fee amounts, compulsory and optional ancillary fees, program specified fees if applicable and fee due dates by term and academic yearThe tuition deposit is charged only once to students enrolled in consecutive terms of study during the academic year except in the case of:students who take a term off from their studies. students on co-op work terms.students who elect to switch their program of study at Conestoga. The tuition deposit due date(s) for all full-time programs with afall start date or considered to be a fall intake is mid-June.winter start date or considered to be a winter intake is early October.spring start date or considered to be a spring intake is early February. Subsequent tuition fee billing is based on the number of academic terms that the student is scheduled to participate in for the academic year. If the total length of the study period is less than 21 weeks, there will be one (1) invoice billed for the academic year."
Related documents,International Student Withdrawal and Refund Procedure Program and Course Withdrawal and Refund Procedure Student Enrolment Procedure Full Time Cohort Programs Student Fees Policy
Revision Log,Date Details 2015-05-27 Policy and Procedure Committee 2015-06-24 Academic Coordinating Committee 2019-12-11 Academic Forum 2020-01-13 Academic Coordinating Committee 2025-04-16 Academic Forum 2025-04-23 Academic Coordinating Committee
Helping you pay for college,"College can be expensive, but we're here to help you plan for your future."
OSAP & aid,Discover financial aid available including OSAP and out-of-province aid.
"Awards, scholarships & bursaries","Search and apply to over 400 awards, bursaries and scholarships."
Work study,The work study program provides on-campus employment to current students.
Awards directory,The awards directory lists all of the awards available through Student Financial Services.
Awards: all programs,"View awards available to all programs #Educatetheworld President’s Honour Roll Award This award has been established in honour of 2020 Alumni of Distinction Award recipients Massi Basiri and Meti Basiri. This award is a reflection of their commitment to make education available to all people, their leadership in the local community and around the world and is a testament to their personal journey as international students studying abroad and the many barriers that they have overcome along the way. The recipient of this award is a graduating student who has achieved the distinction of being on the President’s Honour List and has shown a positive attitude and perseverance in overcoming hardship and/or adversity in their life. Value $1000 Programs All programs Terms offered Fall School All Schools ApplyBoard International Student Premier’s Award Bursary This award has been established in honour of the 2021 Premier’s Award - Business category recipients Massi Basiri and Meti Basiri. This award is a reflection of their outstanding contribution to the international student community and post-secondary education and was made possible by the Colleges Ontario Premier’s Award Bursary, provided to recipients of the annual Premier’s Awards. Meti and Massi have chosen to direct this generous bursary to support International Students at Conestoga. Value $1,000 Programs All Programs Terms offered Fall School All Schools Arnold Rose Academic Grant"
Hours and location,"Student Financial Services is open Monday to Friday, 8:30 a.m. to 4:30 p.m."
Contact us,"To ensure your inquiry is directed to the most appropriate team, please complete the Registrar's Office Contact Form. We aim to respond to all requests within five business days, however, during peak periods this may be longer."
About OSAP,"The Ontario Student Assistance Program (OSAP) is a needs-based program designed to help eligible Ontario students cover the cost of post-secondary education. Funded by the federal and provincial governments, OSAP is intended to promote equality of opportunity for post-secondary studies through direct financial assistance (grants and loans) for educational costs and living expenses."
Applying for OSAP,Students can apply for funding directly through the OSAP website. Applications are updated every academic year and made available in the spring for the next September-August study period. OSAP application processing time is six to eight weeks.
Submitting OSAP documents,"Please note:Student Financial Services does not accept documents submitted in person, by mail, or email. Students must upload their documents through the OSAP Portal."
